trip_id,arrival_time,departure_time,stop_id,stop_sequence
112_225_14_2040, 20:40:14, 20:40:14, 5092_04, 2
112_225_14_2040, 20:43:11, 20:43:11, 5117_01, 4
112_225_14_2040, 20:43:44, 20:43:44, 5192_04, 5
112_225_14_2040, 20:45:02, 20:45:25, 5045_02, 6
112_225_14_2040, 20:45:55, 20:46:09, 5046_02, 7
112_225_14_2040, 20:47:27, 20:47:37, 5047_03, 8
112_225_14_2040, 20:48:13, 20:48:34, 5109_01, 9
112_225_14_2040, 20:49:41, 20:49:51, 5108_01, 10
112_225_14_2040, 20:51:33, 20:51:44, 5058_02, 11
112_225_14_2040, 20:52:36, 20:52:36, 5059_02, 12
112_225_14_2040, 20:54:06, 20:54:16, 5060_02, 13
112_225_14_2040, 20:55:23, 20:55:44, 5034_04, 14
112_225_14_2040, 20:56:18, 20:56:41, 5061_02, 15
112_225_14_2040, 20:57:36, 20:57:46, 5077_02, 16
112_225_14_2040, 21:00:05, 21:00:20, 5063_02, 17
112_225_14_2040, 21:01:01, 21:01:26, 5160_01, 18
112_225_14_2040, 21:02:00, 21:02:10, 5064_01, 19
112_225_14_2040, 21:02:55, 21:03:17, 5161_01, 20
112_225_14_2040, 21:04:57, 21:05:20, 5062_01, 21
112_225_14_2040, 21:06:58, 21:06:58, 5065_01, 22
112_225_14_2040, 21:08:14, 21:08:38, 6047_02, 23
112_225_14_2040, 21:10:51, 21:10:59, 6046_06, 24
112_225_14_2040, 21:11:35, 21:11:58, 6023_01, 25
112_225_14_2040, 21:12:54, 21:13:15, 6021_01, 26
112_225_14_2040, 21:13:50, 21:14:12, 6020_01, 27
112_225_14_2040, 21:15:52, 21:16:13, 6006_03, 28
112_225_14_2040, 21:17:52, 21:18:03, 6075_05, 29
112_225_14_2040, 21:19:09, 21:19:31, 6133_03, 30
112_225_14_2040, 21:22:07, 21:22:28, 1013_04, 32
112_225_14_2040, 21:23:35, 21:23:45, 1159_04, 33
112_225_14_2040, 21:24:53, 21:25:15, 1086_06, 34
112_225_14_2040, 21:26:55, 21:26:55, 1260_03, 35
112_225_14_2040, 21:26:55, 21:27:05, 1165_01, 36
112_225_14_2040, 21:28:24, 21:28:35, 1154_02, 37
112_225_14_2040, 21:29:19, 21:29:40, 1153_01, 38
112_225_14_2040, 21:31:09, 21:31:30, 1147_03, 39
112_225_14_2040, 21:32:25, 21:32:25, 1155_03, 40
112_225_14_2040, 21:33:35, 21:33:35, 1216_02, 41
112_225_14_2040, 21:34:31, 21:34:51, 1145_02, 42
112_225_14_2040, 21:35:24, 21:35:36, 1146_52, 43
112_225_14_2040, 21:36:32, 21:36:42, 1282_02, 44
112_225_14_2040, 21:37:51, 21:37:51, 1319_02, 45
112_225_14_2040, 21:38:34, 21:38:54, 1179_04, 46
112_225_14_2040, 21:39:41, 21:40:01, 1179_02, 47
112_225_14_2040, 21:42:27, 21:42:35, 1472_02, 48
112_225_14_2153, 21:53:39, 21:53:39, 1234_04, 2
112_225_14_2153, 21:56:59, 21:57:19, 1235_02, 5
112_225_14_2153, 21:59:44, 21:59:44, 1233_03, 7
112_225_14_2153, 22:00:06, 22:00:16, 1472_01, 9
112_225_14_2153, 22:04:30, 22:05:03, 1179_01, 11
112_225_14_2153, 22:06:01, 22:06:21, 1179_03, 12
112_225_14_2153, 22:07:16, 22:07:38, 1319_01, 13
112_225_14_2153, 22:08:13, 22:08:36, 1282_51, 14
